Transaction_Index,Fraud_Probability,Prediction,Fraud_Risk_Rating_1_10,Actual_Label,Correct_Prediction
7682,0.9997149,Fraud,1.0,Fraud,True
9261,0.9997149,Fraud,1.0,Fraud,True
7816,0.9997123,Fraud,1.0,Fraud,True
8797,0.9997117,Fraud,1.0,Fraud,True
9097,0.9997093,Fraud,1.0,Fraud,True
9147,0.9997093,Fraud,1.0,Fraud,True
8590,0.99970716,Fraud,1.0,Fraud,True
9282,0.9997056,Fraud,1.0,Fraud,True
8289,0.9997055,Fraud,1.0,Fraud,True
8736,0.9997024,Fraud,1.0,Fraud,True
8429,0.9997002,Fraud,1.0,Fraud,True
9164,0.999699,Fraud,1.0,Fraud,True
7986,0.999699,Fraud,1.0,Fraud,True
8535,0.99969566,Fraud,1.0,Fraud,True
9383,0.9996948,Fraud,1.0,Fraud,True
9015,0.9996908,Fraud,1.0,Fraud,True
9570,0.9996755,Fraud,1.0,Fraud,True
8667,0.99967396,Fraud,1.0,Fraud,True
8506,0.9996711,Fraud,1.0,Fraud,True
9180,0.99966943,Fraud,1.0,Fraud,True
8353,0.9996685,Fraud,1.0,Fraud,True
8181,0.9996685,Fraud,1.0,Fraud,True
9328,0.9996685,Fraud,1.0,Fraud,True
8132,0.9996685,Fraud,1.0,Fraud,True
9266,0.9996685,Fraud,1.0,Fraud,True
9736,0.9996685,Fraud,1.0,Fraud,True
7837,0.9996685,Fraud,1.0,Fraud,True
8164,0.9996685,Fraud,1.0,Fraud,True
8103,0.9996685,Fraud,1.0,Fraud,True
9127,0.9996685,Fraud,1.0,Fraud,True
7914,0.9996685,Fraud,1.0,Fraud,True
8888,0.9996685,Fraud,1.0,Fraud,True
8501,0.9996685,Fraud,1.0,Fraud,True
8669,0.9996685,Fraud,1.0,Fraud,True
9805,0.9996685,Fraud,1.0,Fraud,True
7972,0.9996685,Fraud,1.0,Fraud,True
8717,0.9996685,Fraud,1.0,Fraud,True
9451,0.9996685,Fraud,1.0,Fraud,True
9716,0.9996685,Fraud,1.0,Fraud,True
9354,0.9996685,Fraud,1.0,Fraud,True
9380,0.9996685,Fraud,1.0,Fraud,True
7719,0.9996685,Fraud,1.0,Fraud,True
7725,0.9996685,Fraud,1.0,Fraud,True
7749,0.9996685,Fraud,1.0,Fraud,True
9756,0.9996685,Fraud,1.0,Fraud,True
9429,0.9996685,Fraud,1.0,Fraud,True
9577,0.9996685,Fraud,1.0,Fraud,True
7710,0.999666,Fraud,1.0,Fraud,True
7671,0.99966383,Fraud,1.0,Fraud,True
9557,0.9996624,Fraud,1.0,Fraud,True
8832,0.9996624,Fraud,1.0,Fraud,True
9555,0.9996598,Fraud,1.0,Fraud,True
8769,0.9996587,Fraud,1.0,Fraud,True
9665,0.9996587,Fraud,1.0,Fraud,True
8231,0.9996587,Fraud,1.0,Fraud,True
8045,0.9996587,Fraud,1.0,Fraud,True
7975,0.9996587,Fraud,1.0,Fraud,True
7801,0.9996587,Fraud,1.0,Fraud,True
8208,0.9996587,Fraud,1.0,Fraud,True
9727,0.9996587,Fraud,1.0,Fraud,True
8147,0.9996587,Fraud,1.0,Fraud,True
8754,0.9996587,Fraud,1.0,Fraud,True
9106,0.9996587,Fraud,1.0,Fraud,True
8554,0.9996587,Fraud,1.0,Fraud,True
9688,0.9996587,Fraud,1.0,Fraud,True
8686,0.9996587,Fraud,1.0,Fraud,True
8853,0.9996587,Fraud,1.0,Fraud,True
7840,0.9996587,Fraud,1.0,Fraud,True
7921,0.9996587,Fraud,1.0,Fraud,True
8404,0.9996587,Fraud,1.0,Fraud,True
9143,0.9996587,Fraud,1.0,Fraud,True
